topik,jawaban
Keuangan  - Pengajuan Bantuan Keuangan,Pengajuan Bantuan Keuangan dapat mengisi form pada sibaku.ub.ac.id
Keuangan - Pencairan Saldo UKT,"Silahkan mengajukan permohonan pencairan saldo dengan cara membuat surat permohonan (format bebas,rapi dan sopan) dilampiri foto/scan bukti bayar UKT semester bersangkutan serta halaman depan buku rekening. Berkas permohonan dikirim ke email mailto:tupusatub@gmail.comtupusatub@gmail.com"
keuangan - cek siam untuk tagihan,"Update Tagihan pada SIAM sdra, apabila Besaran Nominal sudah sesuai Pengajuan sdra silahkan segera melakukan Pembayaran"
Keuangan - Kriteria 50%,"Kriteria yang mendapat bantuan 50% adalah bagi Mahasiswa S1 dan D4 tingkat akhir yang berada pada Semester 9 (Sembilan) dan Seterusnya yang sudah menempuh sekurang - kurangnya 138 SKS serta mengambil mata kuliah kurang dari atau sama dengan 6 (enam) SKS. Berikut merupakan Ketentuan kriteria yang menjadi kesatuan (dimana Semester 9, minimal 138 sks, dan program Skripsi), bukan hanya salah satu kriteria yang dapat dipenuhi untuk mendapat Bantuan tsb."
Registrasi Mahasiswa Lama,Berikut kami informasikan Registrasi Mahasiswa Lama dapat dilihat https://ub.ac.id/id/pengumuman-registrasi-mahasiswa-lama-universitas-awijaya-semester-ganjil-2021-2022-program-diploma-sarjana-dan-pascasarjana/disini 
Keuangan - Jadwal Bantuan Keuangan,Jadwal Bantuan Keuangan Mahasiswa Lama dapat diakses https://bantuankeuangan.ub.ac.id/disini
Keuangan : Tata Cara Pembayaran,"Untuk melakukan pembayaran UKT, SPP, IPI dapat dilihat pada laman https://selma.ub.ac.id/tata-cara-pembayaran/https://selma.ub.ac.id/tata-cara-pembayaran/"
Keuangan - Banding UKT Mahasiswa,"Banding tersebut merupakan program dari KBMSI, hingga saat ini belum ada arahan dari Universitas dan Fakultas terkait banding UKT, silahkan menghubungi BEM Fakultas."
Keuangan : Terlambat Pengajuan Bantuan Keuangan,Untuk permohonan pengurangan UKT dilakukan melalui satu pintu pada sibaku.ub.ac.id dan dikarenakan sibaku telah ditutup Saudara di silahkan mengajukan pengurangan UKT di semester berikutnya. Sedangkan untuk pengajuan angsuran disilahkan mengajukan permohonan tertulis ditujukan kepada Wakil Dekan II FILKOM UB. Untuk surat permohonan berupa surat pribadi dan tidak ada format khusus. Silahkan diajukan dengan format rapi dan sopan dan dikirim via halo filkom dengan nomor tiket yang sama.Terima Kasih.
Keuangan - Pencairan Beasiswa Kemendikbud,Silahkan membuat surat dilampiri bukti bayar dan buku hal depan rek ybs dikirim ke tupusatub@gmail.com
Keuangan : Tidak dapat upload Berkas Yudisium,"Proses upload menunggu penerbitan SK Yudisium dengan perkiraan tanggal 16 Agustus 2021 atau lebih, mohon update dalam SIAM"
Keuangan - Bantuan UKT dan UKT Kemendikbud Ristek,"Terkait detail prosedur masih menunggu informasi lebih lanjut dari kemendikbudristek. Sampai saat ini dari Kemendikbudristek masih ada informasi berikut saja https://www.kemdikbud.go.id/main/blog/2021/08/kemendikbudristek-lanjutkan-pemberian-bantuan-kuota-data-internet-dan-uang-kuliah-tunggal-tahun-2021"" target=""_blankhttps://www.kemdikbud.go.id/main/blog/2021/08/kemendikbudristek-lanjutkan-pemberian-bantuan-kuota-data-internet-dan-uang-kuliah-tunggal-tahun-2021 Harap follow media sosial filkom di IG (filkomub) dan twitter (filkomUB) untuk bisa mendapat update terbaru jika ada informasi terkait pengajuan bantuan tersebut. Terima kasih"
Kemahasiswaan - Tahapan pendaftaran Wisuda,"Berikut adalah tahapan pendaftaran wisuda FILKOM UB: 1. unggah dokumen di SIAM2. mengisi gform di tautan berikut https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/"" target=""blankhttps://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/3. verifikasi data ijazah dan transkrip ke Bpk. Joko melalui Yudisium WA Center di nomor 081132007577 (wa message only)4. mengisi data tracer study melalui *bit.ly/TracerFilkom*5. setelah menyelesaikan 4 poin di atas tinggal menunggu antrian wisudainformasi antrian wisuda dapat diakses di https://filkom.ub.ac.id/kemahasiswaan/informasi-wisuda/"" target=""_blankhttps://filkom.ub.ac.id/kemahasiswaan/informasi-wisuda/"
