,topik,keywords
0,pengajuan bantuan,pengajuan bantuan
1,pencairan saldo ukt,pencairan saldo
2,cek siam untuk tagihan,melakukan pembayaran
3,kriteria 50,tingkat akhir
4,registrasi mahasiswa lama,registrasi mahasiswa
5,jadwal bantuan,jadwal bantuan
6,tata cara pembayaran,tata cara
7,banding ukt mahasiswa,silahkan menghubungi
8,terlambat pengajuan bantuan,pengurangan ukt
9,pencairan beasiswa kemendikbud,pencairan beasiswa
10,tidak dapat upload berkas yudisium,perkiraan tanggal
11,bantuan ukt dan ukt kemendikbud ristek,kemendikbud ristek
12,tahapan pendaftaran wisuda,tahapan pendaftaran
13,cara daftar bantuan kemendikbud ristek,cara daftar
14,bantuan kemendikbud tidak terverifikasi,bantuan kemendikbud
15,tagihan ukt potongan 50 muncul kembali,muncul kembali
16,sisa tagihan 50,bantuan potongan
17,angsur sap,angsur sap
18,ktm tersedia,ktm tersedia
19,pengajuan st dospem dan reward prestasi,reward prestasi
20,kip kuliah,kip kuliah
21,verifikasi skm,verifikasi skm
22,nip khajur kps tif,nip khajur
23,rekomendasi magang mandiri dan mbkm,rekomendasi magang
24,pengajuan st dosen pembimbing lomba,pendukung sbb
25,rekomendasi magang dan mbkm,merdeka belajar
26,presensi perkuliahan,presensi perkuliahan
27,pengambilan sertifikat toefl,terima kasih
28,surat pengantar penelitian skripsi,pengantar penelitian
29,surat aktif kuliah,aktif kuliah
30,perihal kehilangan transkrip nilai kuliah,nilai kuliah
31,layanan,menghubungi halo
32,proposal skripsi di luar jadwal jtif,proposal skripsi
33,peminjaman fasilitas lab,peminjaman fasilitas
34,konversi mk perpindahan prodi,perpindahan prodi
35,foto yudisium sc218,terima kasih
36,kontak hp daring kps tif  tekom,daring kps
37,pembatalan mk pkl skripsi,filkom apps
38,syarat menempuh mk lintas prodi,lintas prodi
39,perpindahan prodi akreditasi b ke a,sistem informasi
40,perubahan judul skripsi filkom apps,filkom apps
41,alur get nim mahasiswa filkom ub,gunakan nomor
42,prosedur buka blokir telat pembayaran  pengajuan validasi di luar jadwal,luar jadwal
43,penambahan sks melebihi batas maksimum mk dari ip beban jtif,kaprodi tif
44,validasi dosen pa pada krs siam mahasiswa masih dalam jadwal,"halo filkom,mk"
45,proses sertifikasi it belum ada jawaban,proses sertifikasi
46,prasyarat perpindahan stream keminatan,prasyarat perpindahan
47,pengajuan proposal skripsi di luar jadwal jtif,jadwal jtif
48,dosen pembimbing ujian skripsi tidak hadir salah satu,ujian skripsi
49,pengajuan praproposal terkendala,pengajuan praproposal
50,tombol revisi proposal skripsi pada filkom apps,filkom apps
51,kuota paket data,paket data
52,skl  transkrip,untuk transkrip
53,transkrip final validasi rektor dan dekan,transkrip final
54,sertifikasi it,menghubungi halo
55,pengambilan ijazah non prosesi,selamat pagi
56,pengajuan transkrip keperluan beasiswa mhs do semhas validasi kps dll,selamat pagi
57,pengajuan transkrip validasi kps  jtif,span style
58,layanan ruang baca filkom ub,ruang baca
59,turnitin prasyarat sd melihat hasil turnitin,https
60,transkrip legalisir,transkrip legalisir
61,persyaratan semhas  ujian skripsi filkom,ujian skripsi
62,ujian khusus filkom ub,khusus filkom
63,tidak bisa masuk link uas,akun google
64,foto yudisium,filkom apps
65,turnitin,https
66,pengambilan ktm,pengambilan ktm
67,pengambilan ktm,mahasiswa angkatan
68,crisis centre uas filkom 20211,crisis centre
69,perubahan jurnal jtiik ke luar jtiik,perubahan jurnal
70,pembayaran diluar jadwal registrasi,diluar jadwal
71,surat rekomendasi beasiswa,surat keterangan
72,bebas pustaka ub,bebas pustaka
73,batas akhir pendaftaran semhas ujian skripsi,filkom apps
74,bebas tanggungan laboratorium filkom ub,laboratorium filkom
75,form pasca ujian skripsi,majlis penguji
76,pkl  mbkm,mahasiswa semester
77,yudisium,maksimal tanggal
78,pendaftaran yudisium filkom ub,pendaftaran yudisium
79,toefl,link berikut
80,permasalahan sibaku,silahkan sampaikan
81,perkuliahan hybrid,pendataan fakultas
82,mahasiswa kritis sudah ujian  status do,mahasiswa kritis
83,ukt mhs ujian skripsi belum yudisium selain kritis,mendaftar yudisium
84,link data uji,data uji
85,batas sks beban mhs,figure
86,batas konversi nilai ke huruf,figure
87,bantuan ukt,pengurangan ukt
88,faq perkuliahan hybrid filkom ub,faq perkuliahan
89,daftar ulang,smt genap
90,kuliah hybrid,kuliah hybrid
91,permohonan perpanjangan mahasiswa do diluar skripsi,kode prodi
92,perkuliahan hybrid wajib hadir,wajib hadir
93,pendataan kelas penuh,pendataan kelas
