,topik,keywords
0,PENGAJUAN BANTUAN,pengajuan bantuan keuangan
1,PENCAIRAN SALDO UKT,pencairan saldo ukt
2,CEK SIAM UNTUK TAGIHAN,cek siam untuk
3,KRITERIA 50,adalah bagi mahasiswa
4,REGISTRASI MAHASISWA LAMA,registrasi mahasiswa lama
5,JADWAL BANTUAN,jadwal bantuan keuangan
6,TATA CARA PEMBAYARAN,tata cara pembayaran
7,BANDING UKT MAHASISWA,banding ukt mahasiswa
8,TERLAMBAT PENGAJUAN BANTUAN,terlambat pengajuan bantuan
9,PENCAIRAN BEASISWA KEMENDIKBUD,pencairan beasiswa kemendikbud
10,TIDAK DAPAT UPLOAD BERKAS YUDISIUM,tidak dapat upload
11,BANTUAN UKT DAN UKT KEMENDIKBUD RISTEK,ukt kemendikbud ristek
12,TAHAPAN PENDAFTARAN WISUDA,adalah tahapan pendaftaran
13,CARA DAFTAR BANTUAN KEMENDIKBUDRISTEK,cara daftar bantuan
14,BANTUAN KEMENDIKBUD TIDAK TERVERIFIKASI,kemendikbud tidak terverifikasi
15,TAGIHAN UKT POTONGAN 50 MUNCUL KEMBALI,tagihan ukt potongan
16,SISA TAGIHAN 50,merupakan sisa tagihan
17,ANGSUR SAP,angsur sap
18,KTM TERSEDIA,ktm anda sudah
19,PENGAJUAN ST DOSPEM DAN REWARD PRESTASI,dan reward prestasi
20,KIP KULIAH,kip kuliah
21,VERIFIKASI SKM,verifikasi skm
22,_NIP KAJUR KPS TIF,nip kajur kps
23,REKOMENDASI MAGANG MANDIRI DAN MBKM,rekomendasi magang mandiri
24,PENGAJUAN ST DOSEN PEMBIMBING LOMBA,dokumen pendukung sbb
25,REKOMENDASI MAGANG DAN MBKM,sudah ditandatangani oleh
26,PRESENSI PERKULIAHAN,"filkom,terkait presensi perkuliahan"
27,PENGAMBILAN SERTIFIKAT TOEFL,pengambilan sertifikat toefl
28,SURAT PENGANTAR PENELITIAN SKRIPSI,surat pengantar penelitian
29,SURAT AKTIF KULIAH,surat aktif kuliah
30,PERIHAL KEHILANGAN TRANSKRIP NILAI KULIAH,transkrip nilai kuliah
31,LAYANAN,terimakasih telah menghubungi
32,_PROPOSAL SKRIPSI DI LUAR JADWAL JTIF,luar jadwal jtif
33,_PEMINJAMAN FASILITAS LAB,peminjaman fasilitas lab
34,_KONVERSI MK PERPINDAHAN PRODI,konsekuensi perpindahan prodi
35,_FOTO YUDISIUM SC218,setelah upload foto
36,_KONTAK HP DARING KPS TIF  TEKOM,daring kps tif
37,_PEMBATALAN MK PKL SKRIPSI,mahasiswa tetap diperkenankan
38,_SYARAT MENEMPUH MK LINTAS PRODI,lintas prodi selama
39,_PERPINDAHAN PRODI AKREDITASI B KE A,perpindahan prodi akreditasi
40,_PERUBAHAN JUDUL SKRIPSI FILKOM APPS,pada filkom apps
41,ALUR GET NIM MAHASISWA FILKOM UB,nim dan password
42,_PROSEDUR BUKA BLOKIR TELAT PEMBAYARAN  PENGAJUAN VALIDASI DI LUAR JADWAL,buka blokir telat
43,_PENAMBAHAN SKS MELEBIHI BATAS MAKSIMUM MK DARI IP BEBAN JTIF,melebihi batas maksimum
44,_VALIDASI DOSEN PA PADA KRS SIAM MAHASISWA MASIH DALAM JADWAL,masih dalam jadwal
45,_PROSES SERTIFIKASI IT BELUM ADA JAWABAN,belum ada jawaban
46,_PRASYARAT PERPINDAHAN STREAM KEMINATAN,prasyarat perpindahan stream
47,_PENGAJUAN PROPOSAL SKRIPSI DI LUAR JADWAL JTIF,luar jadwal jtif
48,_DOSEN PEMBIMBING UJIAN SKRIPSI TIDAK HADIR SALAH SATU,pelaksanaan ujian skripsi
49,_PENGAJUAN PRAPROPOSAL TERKENDALA,pengajuan praproposal terkendala
50,_TOMBOL REVISI PROPOSAL SKRIPSI PADA FILKOM APPS,pada filkom apps
51,KUOTA PAKET DATA,paket data pada
52,SKL  TRANSKRIP,untuk transkrip sementara
53,TRANSKRIP FINAL VALIDASI REKTOR DAN DEKAN,rektor dan dekan
54,_SERTIFIKASI IT,laman yang disediakan
55,PENGAMBILAN IJAZAH NON PROSESI,untuk pengambilan hari
56,PENGAJUAN TRANSKRIP KEPERLUAN BEASISWA MHS DO SEMHAS VALIDASI KPS DLL,pengajuan transkrip keperluan
57,_PENGAJUAN TRANSKRIP VALIDASI KPS  JTIF,validasi kps jtif
58,LAYANAN RUANG BACA FILKOM UB,ruang baca filkom
59,_TURNITIN PRASYARAT SD MELIHAT HASIL TURNITIN,melihat hasil turnitin
60,TRANSKRIP LEGALISIR,terimakasih telah menghubungi
61,_PERSYARATAN SEMHAS  UJIAN SKRIPSI FILKOM,ujian skripsi filkom
62,_UJIAN KHUSUS FILKOM UB,ujian khusus filkom
63,TIDAK BISA MASUK LINK UAS,masuk link uas
64,FOTO YUDISIUM,melalui filkom apps
65,_TURNITIN,layanan plagiasi turnitin
66,PENGAMBILAN KTM,pengambilan ktm
67,PENGAMBILAN KTM,ktm mahasiswa angkatan
68,CRISIS CENTRE UAS FILKOM 20211,crisis centre pada
69,_PERUBAHAN JURNAL JPTIIK KE LUAR JPTIIK,perubahan jurnal jptiik
70,PEMBAYARAN DILUAR JADWAL REGISTRASI,diluar jadwal registrasi
71,SURAT REKOMENDASI BEASISWA,template surat keterangan
72,BEBAS PUSTAKA UB,"filkom,surat bebas pustaka"
